<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<BODY BGCOLOR="white">
<H2>72364 EPZ Santa Teresa Observations at 12Z 21 Jun 2024</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     92                                                               
  925.0    788                                                               
  877.0   1252   23.2   17.2     69  14.28    125     13  307.7  351.1  310.3
  873.0   1293   22.4   16.4     69  13.62    121     15  307.2  348.6  309.8
  865.0   1375   21.6   15.6     69  13.05    113     19  307.2  346.8  309.6
  862.0   1406   21.3   15.6     70  13.12    110     21  307.2  347.0  309.6
  853.0   1499   20.3   15.7     75  13.31    120     22  307.1  347.5  309.6
  850.0   1530   20.0   15.7     76  13.37    120     22  307.1  347.6  309.6
  846.0   1571   19.7   15.6     77  13.33    120     22  307.2  347.6  309.6
  836.0   1673   18.9   15.3     80  13.22    120     23  307.4  347.5  309.8
  824.0   1797   17.9   14.9     83  13.08    125     25  307.6  347.4  310.0
  806.0   1987   16.4   14.3     87  12.88    129     31  307.9  347.1  310.3
  801.0   2040   16.2   14.1     87  12.78    130     33  308.3  347.3  310.7
  795.0   2104   16.0   13.8     87  12.67    135     31  308.8  347.5  311.1
  794.0   2115   16.0   13.8     87  12.65    135     31  308.9  347.5  311.2
  784.0   2223   16.6   13.5     82  12.58    140     30  310.6  349.3  312.9
  783.0   2234   16.6   13.5     82  12.58    141     30  310.7  349.5  313.1
  772.0   2354   15.8   12.3     80  11.78    150     31  311.1  347.5  313.3
  760.0   2487   15.2   11.4     78  11.27    160     32  311.9  346.8  314.0
  753.0   2566   14.8   10.9     77  10.97    160     30  312.3  346.4  314.4
  752.0   2577   14.8   10.8     77  10.93    160     30  312.4  346.4  314.4
  732.0   2805   13.6    9.5     76  10.26    160     29  313.4  345.5  315.4
  708.0   3086   12.0    7.8     75   9.46    164     24  314.7  344.5  316.5
  700.0   3181   11.6    7.6     76   9.44    165     22  315.3  345.1  317.1
  686.0   3350   11.0    6.3     73   8.79    170     19  316.4  344.4  318.1
  682.0   3399   10.8    5.9     72   8.61    172     20  316.8  344.2  318.4
  665.0   3609    9.6    5.1     73   8.34    180     25  317.8  344.4  319.3
  638.0   3953    7.7    3.7     76   7.89    175     18  319.4  344.8  320.9
  628.0   4084    7.0    3.2     77   7.73    179     16  320.0  345.0  321.5
  626.0   4110    6.8    3.0     77   7.67    180     16  320.1  344.9  321.6
  619.0   4202    6.3    2.5     76   7.44    180     17  320.5  344.7  322.0
  612.0   4296    5.8    1.9     76   7.23    177     17  321.0  344.5  322.4
  607.0   4363    5.3    1.6     77   7.15    175     17  321.2  344.5  322.6
  590.0   4593    3.7    0.8     81   6.90    180     19  321.9  344.4  323.2
  579.0   4746    2.6    0.2     84   6.73    175     20  322.3  344.4  323.6
  562.0   4988    0.8   -0.8     89   6.48    175     19  323.0  344.3  324.3
  558.0   5046    0.4   -1.0     90   6.42    170     20  323.2  344.3  324.4
  550.0   5162   -0.3   -1.7     90   6.18    160     22  323.7  344.1  324.9
  541.0   5294   -1.1   -2.5     90   5.92    158     20  324.2  343.9  325.4
  534.0   5398   -1.9   -3.4     89   5.61    157     19  324.5  343.2  325.6
  526.0   5518   -2.5   -3.9     90   5.48    155     17  325.2  343.6  326.3
  517.0   5656   -3.1   -4.5     90   5.33    166     14  326.1  344.0  327.1
  514.0   5702   -3.4   -4.8     90   5.24    170     13  326.3  343.9  327.3
  507.0   5810   -4.0   -5.5     90   5.04    160     13  326.8  343.8  327.8
  500.0   5920   -4.7   -6.2     89   4.84    160     18  327.2  343.6  328.2
  494.0   6015   -4.9   -6.5     89   4.79    166     20  328.1  344.4  329.1
  486.0   6143   -5.3   -7.2     87   4.63    175     22  329.1  345.0  330.1
  483.0   6192   -5.5   -7.4     86   4.57    177     21  329.5  345.2  330.4
  470.0   6405   -6.7  -17.1     43   2.13    185     19  330.6  338.2  331.0
  455.0   6658   -8.1  -28.7     17   0.79    175     11  331.9  334.9  332.1
  453.0   6693   -8.3  -30.3     15   0.68    174     11  332.1  334.7  332.2
  450.0   6744   -7.7  -31.7     13   0.60    172     12  333.5  335.8  333.6
  446.0   6813   -8.0  -34.6     10   0.46    170     13  334.0  335.8  334.1
  444.0   6848   -8.1  -36.1      8   0.40    168     13  334.2  335.8  334.3
  439.0   6936   -8.7  -37.7      8   0.34    162     14  334.6  335.9  334.6
  437.0   6971   -9.0  -39.3      7   0.29    160     14  334.7  335.9  334.7
  430.0   7096   -9.9  -44.9      4   0.16    156     14  335.0  335.7  335.1
  429.0   7114  -10.0  -43.0      5   0.20    155     14  335.1  335.9  335.1
  427.0   7150  -10.3  -39.3      7   0.30    157     14  335.2  336.4  335.3
  415.0   7368  -11.7  -28.2     24   0.91    170     17  336.2  339.7  336.4
  406.0   7536  -12.7  -19.7     56   1.99    180     15  337.0  344.3  337.4
  402.0   7612  -12.7  -20.7     51   1.84    176     13  337.9  344.7  338.3
  401.0   7631  -12.8  -20.3     53   1.91    175     13  338.0  345.1  338.4
  400.0   7650  -12.9  -19.9     56   1.98    180     13  338.1  345.4  338.5
  384.0   7959  -15.9  -19.0     77   2.23    198     17  338.2  346.3  338.6
  382.0   7998  -16.1  -19.5     75   2.15    200     17  338.4  346.3  338.9
  377.0   8096  -16.5  -20.8     69   1.94    200     15  339.1  346.3  339.5
  373.0   8176  -16.9  -21.9     65   1.79    204     17  339.6  346.3  340.0
  372.0   8196  -17.0  -21.9     66   1.79    205     17  339.7  346.4  340.1
  351.0   8629  -19.9  -21.9     84   1.90    194     27  341.6  348.7  341.9
  344.0   8777  -20.8  -23.1     82   1.75    190     31  342.3  348.9  342.6
  342.0   8820  -21.1  -23.4     82   1.71    190     31  342.5  348.9  342.8
  339.0   8885  -21.6  -23.8     82   1.66    190     32  342.6  348.9  343.0
  336.0   8950  -22.1  -24.2     83   1.62    192     31  342.8  349.0  343.2
  330.0   9082  -23.1  -25.5     81   1.46    197     29  343.2  348.8  343.5
  326.0   9171  -23.9  -26.0     83   1.41    200     27  343.3  348.8  343.6
  321.0   9283  -24.9  -26.7     85   1.35    197     31  343.5  348.6  343.8
  318.0   9351  -25.4  -27.3     84   1.29    195     34  343.7  348.6  344.0
  310.0   9534  -26.8  -29.0     81   1.13    190     28  344.3  348.7  344.6
  302.0   9722  -28.1  -30.8     78   0.98    195     34  344.9  348.8  345.1
  300.0   9770  -28.5  -31.2     78   0.95    195     33  345.1  348.8  345.3
  284.0  10158  -31.2  -34.6     72   0.72    210     29  346.7  349.6  346.8
  280.0  10258  -31.9  -35.5     71   0.67    215     30  347.1  349.8  347.2
  263.0  10702  -35.0  -39.3     65   0.48    210     40  348.8  350.8  348.9
  251.0  11032  -37.3  -42.2     60   0.37    219     40  350.1  351.6  350.1
  250.0  11060  -37.7  -42.5     61   0.36    220     40  349.9  351.4  349.9
  247.0  11143  -38.3  -42.6     64   0.36    225     40  350.2  351.7  350.3
  243.0  11254  -39.1  -42.8     68   0.36    225     39  350.6  352.2  350.7
  241.0  11310  -39.5  -43.4     67   0.34    225     39  350.8  352.3  350.9
  238.0  11395  -40.2  -44.3     65   0.32    225     40  351.1  352.4  351.2
  235.0  11481  -40.8  -45.2     63   0.29    225     41  351.4  352.6  351.4
  232.0  11568  -41.5  -46.1     61   0.26    226     40  351.7  352.8  351.7
  223.0  11833  -44.0  -48.9     58   0.20    230     38  351.8  352.6  351.8
  220.0  11924  -44.9  -49.9     57   0.18    230     38  351.8  352.6  351.8
  216.0  12046  -45.9  -50.8     57   0.17    230     39  352.1  352.8  352.1
  214.0  12107  -46.5  -51.5     57   0.16    230     39  352.1  352.8  352.1
  212.0  12169  -47.1  -52.1     56   0.15    230     39  352.1  352.8  352.1
  208.0  12294  -48.0  -53.0     56   0.13    230     38  352.6  353.1  352.6
  202.0  12485  -49.5  -54.4     56   0.12    237     39  353.2  353.8  353.2
  200.0  12550  -49.9  -54.9     55   0.11    240     40  353.6  354.1  353.6
  189.0  12918  -52.9  -57.2     59   0.09    247     39  354.5  354.9  354.5
  184.0  13090  -54.4  -59.0     57   0.07    250     38  354.8  355.2  354.9
  181.0  13196  -55.3  -60.1     55   0.06    250     39  355.0  355.3  355.0
  176.0  13374  -56.9  -61.4     57   0.06    250     40  355.2  355.5  355.2
